Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,13.0,1.0,13.0,13.0,0.0,6.204000000000001,0.0,0.0,0.01679086685180664,,,,,,,,,,,,,,,,,,,,,1.7847240952834984,2.121660469927421,6.186985572333649,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,30.0,2.0,17.0,30.0,0.0,6.905,0.0,0.0,1.5468380451202393,,,,,,,,,,,,,,,,,,,,,1.747200091520079,2.2279547634777797,6.8821797782223815,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,104.0,3.0,74.0,104.0,0.0,42.70600000000002,0.0,0.0,6.888942718505859,,,,,,,,,,,,,,,,,,,,,14.296432061481264,12.593133138928145,41.68975378123163,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,131.0,4.0,27.0,131.0,0.0,13.105999999999995,0.0,0.0,8.983887195587158,,,,,,,,,,,,,,,,,,,,,3.640236925467736,4.2256438467906525,13.020734337349724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,149.0,5.0,18.0,149.0,0.0,7.405,0.0,0.0,10.484673738479614,,,,,,,,,,,,,,,,,,,,,1.921399397876805,2.370000034111964,7.377792603441659,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,200.0,6.0,51.0,200.0,0.0,34.10799999999999,0.0,0.0,14.197223663330078,,,,,,,,,,,,,,,,,,,,,11.79967488057484,11.189425877866897,33.5397563374281,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,262.0,7.0,62.0,262.0,0.0,41.605,0.0,0.0,18.653865814208984,,,,,,,,,,,,,,,,,,,,,16.70840583710308,12.730519389779495,40.609688526626236,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,296.0,8.0,34.0,296.0,0.0,11.505999999999991,0.0,0.0,21.254050970077515,,,,,,,,,,,,,,,,,,,,,2.666174566133123,3.2794838885275652,11.42677684159307,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,384.0,9.0,88.0,384.0,0.0,53.605,0.0,0.0,27.566890716552734,,,,,,,,,,,,,,,,,,,,,22.686516130825556,15.780232154445972,51.660246827314694,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,408.0,10.0,24.0,408.0,0.0,12.504999999999995,0.0,0.0,29.491065502166748,,,,,,,,,,,,,,,,,,,,,3.676314178792103,4.112968861803432,12.429197657366357,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,442.0,11.0,34.0,442.0,0.0,24.90400000000001,0.0,0.0,32.30271291732788,,,,,,,,,,,,,,,,,,,,,9.48270235190008,8.240335290139793,24.60619431434975,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,465.0,12.0,23.0,465.0,0.0,9.604999999999995,0.0,0.0,34.11000728607178,,,,,,,,,,,,,,,,,,,,,2.5511235275881976,2.994090739674436,9.555880038904377,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,503.0,13.0,38.0,503.0,0.0,26.504000000000012,0.0,0.0,36.985782861709595,,,,,,,,,,,,,,,,,,,,,9.694061483930923,8.698211392796747,26.16178745106169,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,534.0,14.0,31.0,534.0,0.0,21.405000000000012,0.0,0.0,39.44371294975281,,,,,,,,,,,,,,,,,,,,,7.735011005797712,7.169977891624103,21.186401059880154,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,559.0,15.0,25.0,559.0,0.0,11.004999999999995,0.0,0.0,41.35847616195679,,,,,,,,,,,,,,,,,,,,,3.169623165430454,3.414268093389905,10.936696116981222,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,579.0,16.0,20.0,579.0,0.0,7.106,0.0,0.0,43.04983854293823,,,,,,,,,,,,,,,,,,,,,1.6207611824768542,2.1919002335493643,7.080665441792255,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,623.0,17.0,44.0,623.0,0.0,26.00500000000002,0.0,0.0,46.27228665351868,,,,,,,,,,,,,,,,,,,,,8.280622050709768,8.399389556976766,25.66631894871749,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,646.0,18.0,23.0,646.0,0.0,12.903999999999996,0.0,0.0,48.11522579193115,,,,,,,,,,,,,,,,,,,,,4.094173727512753,4.253323246254595,12.822656660928136,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
